name,id,principal,agent,date formed,status,type,street,city,state,zip
"ADLER LAW GROUP, L.L.C.",943273,LAWRENCE H. ADLER,LAWRENCE H. ADLER,07/07/2008,Active,Domestic Limited Liability Company,"111 FOUNDERS PLAZA, SUITE 1102",EAST HARTFORD,CT,6108
"ADVOCATES LAW FIRM, LLC",574729,RONALD T. MURPHY,RON MURPHY,10/24/1997,Active,Domestic Limited Liability Company,6 VINE HILL ROAD,FARMINGTON,CT,6032
"AEQUUM LAW, LLC",1198511,JOHN J. ALTORELLI,JOHN J. ALTORELLI,02/25/2016,Active,Domestic Limited Liability Company,73 DAVENPORT ROAD,ROXBURY,CT,6783
AETON LAW PARTNERS LLP,1058304,,NEYAH KANE BENNETT,01/06/2012,Active,Domestic Limited Liability Partnership,"101 CENTERPOINT DRIVE, SUITE 105, SUITE 105",MIDDLETOWN,CT,6457
AHLUWALIA LAW OFFICES PC,1161914,PALLAVI AHLUWALIA,SECRETARY OF THE STATE OF CONNECTICUT,11/24/2014,Active,Foreign Stock Corporation,"14180 DALLAS PARKWAY, SUITE 720",DALLAS,TX,75254
AJ MANNION LAW OFFICE LLC,1101040,"ARTHUR J. MANNION, JR.","ARTHUR J. MANNION, JR.",03/15/2013,Active,Domestic Limited Liability Company,"1 IVES STREET, SUITE 202",DANBURY,CT,6810
"AJS VIRTUAL LAW OFFICE, LLC",1051554,"AJS VIRTUAL LAW OFFICE, LLC",ABRAHAM J. SIEGEL,10/19/2011,Active,Domestic Limited Liability Company,60 GERTHMERE DRIVE,WEST HARTFORD,CT,6110
"ALAN BARRY CENTER FOR LAW & JUSTICE, LLC",1162575,ALAN BARRY,ALAN BARRY,12/24/2014,Active,Domestic Limited Liability Company,5 SHELTER ROCK ROAD,DANBURY,CT,6810
"ALAN SIBARIUM, ATTORNEY AT LAW, LLC",584828,ALAN SIBARIUM,ALAN SIBARIUM,03/02/1998,Dissolved,Domestic Limited Liability Company,45 S. MAIN STREET,FARMINGTON,CT,6034
"ALBRIGHT LAW, LLC",970849,JOHN ALBRIGHT,JOHN D. ALBRIGHT,05/05/2009,Active,Domestic Limited Liability Company,50 GREENFIELD DRIVE,WESTON,CT,6883
ALCHEMIZING LAW LLC,1264510,SEAN LA ROQUE-DOHERTY,SEAN LA ROQUE-DOHERTY,02/20/2018,Active,Domestic Limited Liability Company,50 MILLERTON RD,LAKEVILLE,CT,6039
"ALDEN LAW FIRM, LLC",870972,MELINDA A. ALDEN,COLLEEN A. LYONS,08/28/2006,Dissolved,Domestic Limited Liability Company,221 BENEDICT DRIVE,SOUTH WINDSOR,CT,6074
"ALEXANDER LAW OFFICES, LLC",758098,HEIDI J. ALEXANDER,"JOHN HENRY STEELE, ESQ.",08/25/2003,Dissolved,Domestic Limited Liability Company,33 WILDFLOWER LANE,MIDDLETOWN,CT,6457
"ALEXANDRA OSWALD, ATTORNEY AT LAW, LLC",651395,ALEXANDRA OSWALD,"JASON D. BEGUN, ESQ.",05/11/2000,Active,Domestic Limited Liability Company,6 LANDMARK SQ STE 400,STAMFORD,CT,6901
"ALFANO EDUCATION LAW GROUP, P.C.",551710,ALYCE L. ALFANO,ALYCE L. ALFANO,01/10/1997,Dissolved,Domestic Stock Corporation,4 WOODBRIDGE DRIVE,SUFFIELD,CT,6078
"ALLAIRE ELDER LAW, LLC",1091923,"HALLEY C ALLAIRE, STEPHEN O. ALLAIRE",STEPHEN O. ALLAIRE,12/13/2012,Active,Domestic Limited Liability Company,271 FARMINGTON AVE,BRISTOL,CT,6010
"ALLEN LAW, LLC",1279523,MICHAEL ALLEN,MICHAEL ALLEN,07/19/2018,Active,Domestic Limited Liability Company,3 SCHOOL HOUSE LN.,QUAKER HILL,CT,6375
ALLENTUCH LAW PLLC,1309103,SIMON ALLENTUCH,SIMON ALLENTUCH,05/10/2019,Active,Domestic Limited Liability Company,470 JAMES STREET,NEW HAVEN,CT,6513
"ALLSTATES LAWS, INC.",623313,"DAVID E. MARMELSTEIN, WALTER R. DUDEK",WALTER R. DUDEK,06/14/1999,Active,Domestic Stock Corporation,146 HIGH ST,ENFIELD,CT,6082
"ALP LAW, LLC",1085793,ANGELA PAPCSY,ANGELA PAPCSY,10/09/2012,Active,Domestic Limited Liability Company,53 EAST AVENUE,NORWALK,CT,6581
"AL P. TREBING, ATTORNEY AT LAW, P.C.",505140,AL P. TREBING,AL P. TREBING,11/23/1994,Dissolved,Domestic Stock Corporation,106 MAIN STREET,NEW CANAAN,CT,6840
"ALTAMIRANO LAW, LLC",1092712,JOSE L. ALTAMIRANO,JOSE L. ALTAMIRANO,01/03/2013,Active,Domestic Limited Liability Company,"15 NORTH STREET, 2ND FLOOR",DANBURY,CT,6810
"AMATUZZI LAW OFFICE, LLC",1113242,SUSANNA AMATUZZI,SUSANNA AMATUZZI,07/18/2013,Dissolved,Domestic Limited Liability Company,421 MAIN ST STE B,RIDGEFIELD,CT,6877
"AMERICAN LAW AND BUSINESS INSTITUTE, INC.",237846,,"RICHARD E. BURKE, ESQUIRE",09/01/1989,Forfeited,Domestic Stock Corporation,"P.O. BOX 1567, 49 LOCUST AVENUE",NEW CANAAN,CT,6840
"AMERICAN LAW AND ECONOMICS ASSOCIATION, INC.",255424,"KAREN CROCCO, ROBERT C. ELLICKSON, STEVEN SHAVELL",GEORGE L. PRIEST,12/11/1990,Active,Domestic Non-Stock Corporation,127 WALL STREET,NEW HAVEN,CT,6520
"AMERICAN LAW PLAN, INC.",549543,"MARK CAVE, TOM VOISS",C T CORPORATION SYSTEM,12/10/1996,Forfeited,Foreign Stock Corporation,6310 SAN VICENTE BLVD #100,LOS ANGELES,CA,90048
"AMERICAN MUSEUM OF TORT LAW, INC.",589863,"CARL MAYER, JOSEPH A. PAGE, RALPH NADER",RICHARD NEWMAN,04/21/1998,Active,Domestic Non-Stock Corporation,654 MAIN ST.,WINSTED,CT,6098
"AMERICANS FOR EFFECTIVE LAW ENFORCEMENT, INC.",51550,,UNITED STATES CORPORATION COMPANY,07/13/1971,Revoked,Foreign Non-Stock Corporation,"SUITE 209, 501 GRANDVIEW DRIVE",SO. SAN FRANCISCO,CA,94080
"ANCHOR LAW FIRM, LLC",1207632,"STACY ROBINSON, THOMAS ROGUS",SECRETARY OF THE STATE OF CONNECTICUT,05/13/2016,Active,Foreign Limited Liability Company,"609 SW 8TH ST., STE. 600",BENTONVILLE,AR,72712
"ANDERSON LAW FIRM, P.C.",222124,"CHRISTOPHER P. ANDERSON, LINDA J. PECHKA, MICHAEL L. ANDERSON",CHRISTOPHER P. ANDERSON,08/15/1988,Active,Domestic Stock Corporation,82 CHELSEA HARBOR DRIVE,NORWICH,CT,6360
ANDERSON LAW OFFICES LLC,1253414,WILLIAM ANDERSON,WILLIAM ANDERSON,10/20/2017,Active,Domestic Limited Liability Company,261 SALMON BROOK ST,GRANBY,CT,6035
"ANDREW A. FEINSTEIN, ATTORNEY-AT-LAW, P.C.",522935,"ANDREW ALAN FEINSTEIN, DEBORAH RAE EISENBERG","ANDREW A. FEINSTEIN, ESQ.",09/29/1995,Dissolved,Domestic Stock Corporation,750 HOPMEADOW ST,SIMSBURY,CT,6070
"ANDREW C. COTE,ATTORNEY AT LAW,P.C.",564629,"ANDREW C. COTE, CHERYL D. ROSSIRE",ANDREW C. COTE,06/11/1997,Dissolved,Domestic Stock Corporation,"11 GAY ST., P.O. BOX 1294",SHARON,CT,6069
"ANDREW C. COTE, LLC ATTORNEY AT LAW",999490,ANDREW C. COTE,ANDREW C. COTE,03/22/2010,Dissolved,Domestic Limited Liability Company,"302 WEST MAIN ST., STE. 201",AVON,CT,6001
"ANDREW D. COLEMAN, ATTORNEY AT LAW, P.C.",549922,"ANDREW D. COLEMAN, CATHERINE C. COLEMAN",ANDREW D. COLEMAN,12/16/1996,Dissolved,Domestic Stock Corporation,20 STONEGATE CIRCLE,CHESHIRE,CT,6410
"ANGELONE LAW OFFICES, L.L.C.",1102022,"DANIEL T. ANGELONE, ESQ",DANIEL T ANGELONE,03/21/2013,Active,Domestic Limited Liability Company,"799 SILVER LANE, 2ND FLOOR",TRUMBULL,CT,6611
"ANGUILLA LAW, LLC",819192,"NICHOLAS F. KEPPLE, ROBERT A. AVENA","ROBERT A. AVENA, ESQ.",04/21/2005,Active,Domestic Limited Liability Company,"20 SOUTH ANGUILLA RD., P.O. BOX 1445, P.O. BOX 1445",PAWCATUCK,CT,6379
"ANNE B. MURDICA, ATTORNEY-AT-LAW, LLC",1183128,ANNE MURDICA,ANNE BILLICK MURDICA,08/10/2015,Dissolved,Domestic Limited Liability Company,"7 WEST STREET, SUITE 23",LITCHFIELD,CT,6759
"ANN E. ROSE LAW OFFICES, LLC",1028781,ANN E. ROSE,"ANN E. ROSE, ESQ.",02/25/2011,Active,Domestic Limited Liability Company,6 NELSON LANE,NEWTOWN,CT,6470
"ANNETTE BRIGSTED, ATTORNEY AT LAW, LLC",657874,ANNETTE BRIGSTED,CLIFFORD R. COFFEY,07/31/2000,Dissolved,Domestic Limited Liability Company,40 THIMBLE ROCK ROAD,MIDDLETOWN,CT,6457
"ANN LAW & COMPANY CUSTOM FURNITURE & WOODWORKING BY JOE NEMETH, INC.",574257,"ANN LAW, JOSEPH NEMETH",BARRY C KNOTT,10/20/1997,Dissolved,Domestic Stock Corporation,576 EAST BROADWAY,STRATFORD,CT,6497
"ANSELL LABEN LAW OFFICES, LLC",742187,DENISE ANSELL,ADAM A. LABEN,03/07/2003,Active,Domestic Limited Liability Company,94 BROAD ST.,NEW LONDON,CT,6320
"APEX LAW FIRM, LLC",1318021,ANTHONY PIGNATIELLO,ANTHONY PIGNATIELLO,08/09/2019,Active,Domestic Limited Liability Company,29 FOREST DRIVE,WETHERSFIELD,CT,6109
"ARBELAEZ LAW, LLC",1114786,DORIAN D. ARBELAEZ,DORIAN D. ARBELAEZ,08/02/2013,Dissolved,Domestic Limited Liability Company,33 NEW ENGLAND AVE STE #1,FAIRFIELD,CT,6824
ARCHER LAW PLLC,1260972,JOAN ARCHER,JOAN ARCHER,01/18/2018,Active,Domestic Limited Liability Company,18 SUNSET TRAIL,NEW FAIRFIELD,CT,6812
ARIAS LAW LLC,896093,ABELARDO J. ARIAS,"ABELARDO J. ARIAS, ESQUIRE",04/11/2007,Active,Domestic Limited Liability Company,"151 NORTH MAIN STREET, #2751",BRISTOL,CT,6011
"ARNOLD V. AMORE, ATTORNEY AT LAW, L.L.C.",673238,ARNOLD V. AMORE II,"RAYMOND RIGAT, ESQ.",02/05/2001,Active,Domestic Limited Liability Company,"1948 CHAPEL STREET, P.O. BOX 3106, P.O. BOX 3106","NEW HAVEN,",CT,6515
"A.S. CHAPMAN & ASSOCIATES, ATTORNEYS AND COUNSELORS AT LAW, LLC",633366,AVERY S. CHAPMAN,AVERY S. CHAPMAN,10/22/1999,Active,Domestic Limited Liability Company,7 ELM STREET,NEW HAVEN,CT,6510
ASEAN LAW FIRM LLC,1206842,JI UNG CHOI,REGISTERED AGENTS INC,05/20/2016,Active,Domestic Limited Liability Company,"2389 MAIN STREET, STE 100",GLASTONBURY,CT,6033
"ASHLING SOARES LAW, PLLC",1282025,ASHLING M. SOARES,ASHLING M. SOARES,08/15/2018,Active,Domestic Limited Liability Company,"55 GREENS FARMS ROAD, #200-58",WESTPORT,CT,6880
"A. SMITH LAW GROUP, LLP",1092606,,,01/02/2013,Active,Domestic Limited Liability Partnership,"60 LONG RIDGE ROAD, SUITE 200",STAMFORD,CT,6902
"ASSOCIATION OF LAW ENFORCEMENT OFFICERS, INC.",783272,"EDWARD MATHEWS, FRANK COLELLO, MARK A. PESIRI",MARK A. PESIRI,04/30/2004,Active,Domestic Non-Stock Corporation,65 HIGH RIDGE ROAD - #475,STAMFORD,CT,6905
"ATAMIAN LAW ASSOCIATES, P.C.",1013105,JANINE M ATAMIAN,SECRETARY OF THE STATE OF CONNECTICUT,08/19/2010,Withdrawn,Foreign Stock Corporation,165 SILVER LAKE AVE.,PROVIDENCE,RI,2909
ATLANTIC LAW BOOK COMPANY THE,3291,,"MICHAEL SUCOLL, ESQ.",11/02/1959,Forfeited,Domestic Stock Corporation,445 CAPITOL AVE,HARTFORD,CT,6106
"AUDREY A. COLE ATTORNEY AT LAW, LLC",747182,AUDREY A. COLE,JUDITH A. HERKIMER,04/28/2003,Active,Domestic Limited Liability Company,270 WEST CORNWALL ROAD,WEST CORNWALL,CT,6796
"AUDREY J. PORZIO - ATTORNEY AT LAW, LLC",827298,AUDREY J. PORZIO,AUDREY J. PORZIO,07/08/2005,Active,Domestic Limited Liability Company,27 HOLMES AVENUE,WATERBURY,CT,6710
"AUGER & RODIA, LLC ATTORNEYS AT LAW",608861,JOHN M. RODIA,JOHN M. RODIA,12/16/1998,Dissolved,Domestic Limited Liability Company,"2505 MAIN ST., UNIT NO. 226",STRATFORD,CT,6615
AVON LAW LIMITED LIABILITY COMPANY,591925,GARY JOSEPH GREENE P.C.,GARY J. GREENE,05/07/1998,Active,Domestic Limited Liability Company,30 AVON MEADOW LANE,AVON,CT,6001
"BACHARACH LAW FIRM, LLC",773807,PAMELA S. BACHARACH,PAMELA S. BACHARACH,02/26/2004,Active,Domestic Limited Liability Company,20 WINDHAM ST.,WILLIMANTIC,CT,6226
"B.A. COLLINS LAW, LLC",1161134,BRUCE A. COLLINS,"BRUCE A. COLLINS, ESQ.",11/17/2014,Active,Domestic Limited Liability Company,7 TAM TASHUA DRIVE,TRUMBULL,CT,6611
"BAKER ESTATE PLANNING LAW, LLC",1213116,GEORGE A. BAKER,GEORGE A. BAKER,08/01/2016,Active,Domestic Limited Liability Company,117 NEW LONDON TURNPIKE,GLASTONBURY,CT,6033
"BAKER LAW FIRM, P.C.",546773,"FRED L. BAKER, LISA A. POWERS",FRED L. BAKER,10/25/1996,Active,Domestic Stock Corporation,24 DELAY ST,DANBURY,CT,6810
BA LAW PLLC,1272370,BRIAN AJODHI,BRIAN AJODHI,05/07/2018,Active,Domestic Limited Liability Company,655 MAPLE AVENE,HARTFORD,CT,6114
"BALDINI LAW, LLC",1034124,MATTHEW BALDINI,MATTHEW BALDINI,04/07/2011,Dissolved,Domestic Limited Liability Company,650 FARMINGTON AVE.,HARTFORD,CT,6105
BALTER LAW LLC,1189531,JOSHUA O. BALTER,JOSHUA O. BALTER,10/30/2015,Active,Domestic Limited Liability Company,"209 MONTOWESE ST, SUITE 2N",BRANFORD,CT,6405
"BANKRUPTCY LAW GROUP, LLC",649755,,SUZANN L. BECKETT,04/24/2000,Dissolved,Domestic Limited Liability Company,543 PROSPECT AVE.,WEST HARTFORD,CT,6105
BANKRUPTCY LAW LLC,988080,BECKETT LAW LLC,"BECKETT LAW, LLC",11/09/2009,Dissolved,Domestic Limited Liability Company,543 PROSPECT AVE,HARTFORD,CT,6105
BANKS LAW LLC,1173458,PAMELA A BANKS,PAMELA A BANKS,04/27/2015,Active,Domestic Limited Liability Company,46 NUTMEG RIDGE,RIDGEFIELD,CT,6877
BANSLEY LAW LLC,1331564,WALTER BANSLEY,WALTER BANSLEY,01/02/2020,Active,Domestic Limited Liability Company,54 WEST MAIN STREET,MYSTIC,CT,6355
BANSLEY LAW OFFICES LLC,799948,WALTER C. BANSLEY IV,WALTER C. BANSLEY,10/21/2004,Active,Domestic Limited Liability Company,54 WEST MAIN STREET,MYSTIC,CT,6340
BANTAM LAW LLC,1030504,"ANDREA DOYLE ASMAN, KEITH S. ASMAN","LITWIN ASMAN, P.C.",03/04/2011,Active,Domestic Limited Liability Company,1047 BANTAM ROAD,BANTAM,CT,6750
"BARBARA C. SCALA, ATTORNEY AT LAW LLC",1071892,BARBARA C. SCALA,BARBARA C. SCALA,05/11/2012,Dissolved,Domestic Limited Liability Company,13 SACHEM ROAD,WESTBROOK,CT,6498
"BARBIERI LAW, LLC",1162935,"CLAUDIA R. BARBIERI, JOHN A. BARBIERI",JOHN A. BARBIERI,01/05/2015,Active,Domestic Limited Liability Company,18 CEDAR STREET,NEW BRITAIN,CT,6052
"BARNETT LAW OFFICES, LLC",692542,ADAM BARNETT,ADAM BARNETT,10/04/2001,Dissolved,Domestic Limited Liability Company,"700 CANAL ST, STE. 207",STAMFORD,CT,6902
"BARRETT LAW GROUP, LLC",1170594,KYLE R. BARRETT,"ELM CITY SERVICE COMPANY, LLC",03/10/2015,Active,Domestic Limited Liability Company,"400 MIDDLE STREET, SUITE 200",MIDDLETOWN,CT,6457
"BARRON LAW GROUP, LLC",1129765,"EDWARD M. BARRON, II","EDWARD M. BARRON, II",01/09/2014,Active,Domestic Limited Liability Company,2 TERRACE PLACE,DANBURY,CT,6810
"BARTLETT LAW FIRM, LLC",973290,TARA BARTLETT,TARA BARTLETT,05/27/2009,Dissolved,Domestic Limited Liability Company,71 FOXBRIDGE VILLAGE RD,BRANFORD,CT,6405
"BARTLETT LAW, LLC",1216865,ELISA H. BARTLETT,ELISA H. BARTLETT,09/15/2016,Active,Domestic Limited Liability Company,2181 BOSTON TURNPIKE,ELLINGTON,CT,6029
"BARTLETT LAW OFFICES, P.C.",526809,"KENNETH GERRY BARTLETT, KIMBERLY ANN BARTLETT",KENNETH G. BARTLETT,12/11/1995,Active,Domestic Stock Corporation,101 WHITNEY AVE.,NEW HAVEN,CT,6510
"BARTOLO LAW GROUP, P.C.",1085592,MARLENE B. BARTOLO,MARLENE B. BARTOLO,10/05/2012,Active,Foreign Stock Corporation,"2 HOLLYHOCK ROAD, SECOND FLOOR",WILTON,CT,6897
"BARTON LAW FIRM, LLC",946691,"JOHN M. BARTON, III","JOHN M. BARTON, III",08/11/2008,Active,Domestic Limited Liability Company,"200 BOSTON POST RD., SUITE 14, P.O. BOX 901",ORANGE,CT,6477
"BASSMAN LAW FIRM, PLLC",1314367,ELI BASSMAN,ELI BASSMAN,07/02/2019,Active,Domestic Limited Liability Company,"92 BROOKSIDE ROAD, SUITE #101",WATERBURY,CT,6708
BATH ONLINE LAW L.L.C.,1258658,PIERRE MCDONNAUGH,LEGALINC CORPORATE SERVICES INC.,12/22/2017,Active,Domestic Limited Liability Company,8012 WATERFORD LAKES DR APT 436,CHARLOTTE,NE,28210
"BAUER LAW GROUP, LLC",907646,RENEE C. BAUER,RENEE BAUER,07/30/2007,Active,Domestic Limited Liability Company,2531 WHITNEY AVENUE,HAMDEN,CT,6518
"BC LAW FIRM P.A., INC.",1317527,"BARRY CAROTHERS, JOHN ERICK SWARD, JOHN PAPASTRAT",SECRETARY OF THE STATE OF CONNECTICUT,08/05/2019,Active,Foreign Stock Corporation,"10 SE CENTRAL PARKWAY, SUITE 325",STUART,FL,34990
BEAUREGARD LAW OFFICES LLC,965156,PATRICIA R. BEAUREGARD,PATRICIA R. BEAUREGARD,03/10/2009,Dissolved,Domestic Limited Liability Company,51 GRAYROCK ROAD,TRUMBULL,CT,6611
"BECKER LAW OFFICES, LLC",569313,"BRIAN S. BECKER, LAURA GOLD BECKER",LAURA GOLD BECKER,08/15/1997,Active,Domestic Limited Liability Company,5 CENTERBROOK CT,AVON,CT,6001
"BECKETT LAW, LLC",646914,SUZANN LEIGH BECKETT,SUZANN L. BECKETT,03/23/2000,Active,Domestic Limited Liability Company,543 PROSPECT AVENUE,WEST HARTFORD,CT,6105
"BECK LAW PRODUCTS & FORMS, LLC",701277,KENNETH A. BECK,KENNETH A. BECK,01/07/2002,Active,Domestic Limited Liability Company,83 BOOTH STREET,STRATFORD,CT,6614
"BELINKIE LAW OFFICE, LLC",784851,DIANE BELINKIE,DIANE BELINKIE,05/13/2004,Active,Domestic Limited Liability Company,"BELINKIE LAW OFFICE, LLC, 19 WALKER ROAD",TRUMBULL,CT,6611
"BELINKIE & SIMKO LAW FIRM, LLC",922373,DIANE BELINKIE,"V. MICHAEL SIMKO, JR.",12/20/2007,Dissolved,Domestic Limited Liability Company,"1087 BROAD STREET, STE. 201",BRIDGEPORT,CT,6604
"BELLITTO & BELLITTO, ATTORNEYS AT LAW, LLC",979384,ROBERT B. BELLITTO,ROBERT B. BELLITTO,08/05/2009,Active,Domestic Limited Liability Company,"1925 BLACK ROCK TURNPIKE, SUITE 202A, 1925 BLACK ROCK TURNPIKE 202A",FAIRFIELD,CT,6825
"BELTRANO LAW, LLC",1088674,"ALBERT M. BELTRANO, MICHELLE LEE BELTRANO",MICHELLE LEE BELTRANO,11/13/2012,Active,Domestic Limited Liability Company,1037 EAST PUTNAM AVENUE,RIVERSIDE,CT,6878
"BENJAMIN R. BOUTAUGH, JR. ATTORNEY AT LAW, LLC",832997,"BENJAMIN R. BOUTAUGH, JR.","LOUISE ZITO, ESQ.",09/02/2005,Active,Domestic Limited Liability Company,"420 E. MAIN ST., BLD. 3 SUITE 15",BRANFORD,CT,6405
"BERGER LAW OFFICES, LLC, A LIMITED LIABILITY COMPANY",546471,MITCHELL M. BERGER,MITCHELL M. BERGER,10/23/1996,Dissolved,Domestic Limited Liability Company,21 LOMBARD DRIVE,PROSPECT,CT,6712
BERKENSTOCK LAW LLC,997137,JENNIFER LOCKE BERKENSTOCK,JENNIFER LOCKE BERKENSTOCK,02/24/2010,Dissolved,Domestic Limited Liability Company,1 MAIN STREET,EAST HAMPTON,CT,6424
"BERLINGIERI LAW, LLC",1200363,CHRISTOPHER J. BERLINGIERI,SECRETARY OF THE STATE OF CONNECTICUT,03/03/2016,Active,Foreign Limited Liability Company,"244 FIFTH AVE., SUITE F276",NEW YORK,NY,10001
"BERLIN LAW OFFICES, LLC",811360,ROBERT P. MURPHY,ROBERT P. MURPHY,02/15/2005,Active,Domestic Limited Liability Company,1020 FARMINGTON AVENUE,BERLIN,CT,6037
"BERNARDINI LAW, P.C.",1057088,CHRISTINE M. BERNARDINI,CORPORATION SERVICE COMPANY,12/28/2011,Active,Foreign Stock Corporation,"800 TURNPIKE STREET, SUITE 300",NORTH ANDOVER,MA,1845
"BERNHEIM LAW OFFICES, LLC",732262,AMY J. BERNHEIM,AMY J. BERNHEIM,11/21/2002,Active,Domestic Limited Liability Company,321 MAIN STREET,FARMINGTON,CT,6032
"BERNSTEIN LAW FIRM, LLC",924549,STEPHANIE A. BERNSTEIN,STEPHANIE A. BERNSTEIN,01/11/2008,Dissolved,Domestic Limited Liability Company,25 WATER STREET,GUILFORD,CT,6437
"BERNSTEIN LAW, LLC",1299014,STEPHANIE BERNSTEIN,GARY CHUTE,02/11/2019,Active,Domestic Limited Liability Company,46 WASHINGTON STREET,MIDDLETOWN,CT,6457
"BERRY LAW GROUP, LLC",1178755,"JEFFERY R. BERRY, KATHLEEN O. BERRY",KATHLEEN O. BERRY,06/16/2015,Active,Domestic Limited Liability Company,"62 LASALLE ROAD, SUITE 212",WEST HARTFORD,CT,6107
BERRY LAW LLC,633054,PETER M. BERRY,PETER M. BERRY,10/20/1999,Active,Domestic Limited Liability Company,107 OLD WINDSOR RD,BLOOMFIELD,CT,6002
"BERT MCDOWELL INJURY LAW, LLC",1328703,BERTRAM MCDOWELL JR,BERTRAM MCDOWELL JR,11/25/2019,Active,Domestic Limited Liability Company,1836 NOBLE AVENUE,BRIDGEPORT,CT,6610
BEVERAGE LAW LLC,965160,RICHARD E. SKAWINSKI,"RICHARD E. SKAWINSKI, ESQ.",03/09/2009,Active,Domestic Limited Liability Company,120 RAVENCREST DR.,STRATFORD,CT,6614
"BEVERLEY ROGERS LAW OFFICES, LLC",1068197,BEVERLY ROGERS,BEVERLY ROGERS,04/12/2012,Active,Domestic Limited Liability Company,158 DANBURY RD STE 6,RIDGEFIELD,CT,6877
"BILL KOWALSKI, ATTORNEY AT LAW, PLLC",1255524,BILL KOWALSKI,AGNES CAHILL,11/13/2017,Active,Domestic Limited Liability Company,18 GREEN LANE,DURHAM,CT,6422
"BK LAW, LLC",1252312,BRIAN CARVELL,BRIAN K. CARVELL,10/10/2017,Active,Domestic Limited Liability Company,27 CHARTER ROAD,ELLINGTON,CT,6029
BLAIR CREED LAW  LLC,1304935,BLAIR CREED,BLAIR CREED,04/03/2019,Active,Domestic Limited Liability Company,653 TERYVILLE,BRISTOL,CT,6010
"BLAIR LAW, LLC",1033507,JOHN D. BLAIR,JOHN D. BLAIR,03/30/2011,Active,Domestic Limited Liability Company,88 PARK PLACE CIR,WEST HARTFORD,CT,6110
"BLAKE LAW GROUP, LLC",1195273,MARCIA BLAKE,MARCIA BLAKE,01/07/2016,Active,Domestic Limited Liability Company,"157 CHURCH STREET, 19TH FLOOR",NEW HAVEN,CT,6515
B-LAW LLC,881480,DIANA L. BARTOLOTTA,REGISTERED AGENTS INC,12/11/2006,Active,Domestic Limited Liability Company,"2389 MAIN STREET, SUITE 100",GLASTONBURY,CT,6033
